,Topic,Count,Name,Representation,Representative_Docs
0,-1,4122,-1_new teachers_teachers bartlett_sign pledge_pledge,"['new teachers', 'teachers bartlett', 'sign pledge', 'pledge', 'teach new', 'pledge oct', 'teachers lisle', 'pledge sept', 'educators', 'teachers glen']","['No new teachers in Bartlett sign pledge on Oct . 6 to teach Critical Race Theory', 'No new teachers in Bartlett sign pledge on Oct . 9 to teach Critical Race Theory', 'No new teachers in Roselle sign pledge on Oct . 6 to teach Critical Race Theory']"
1,0,2723,0_anti parents_school board_school district_public schools,"['anti parents', 'school board', 'school district', 'public schools', 'brown jackson', 'schools', 'parents', 'curriculum', 'teacher', 'teachers']","['Ketanji Brown Jackson Serves on Board of School That Promotes Critical Race Theory', '  I Got Over 1 , 000 Soldiers Ready To Go , Locked And Loaded : Black Militant Threatens Anti - CRT Parents At Texas School Board Meeting', 'Cruz Asks Ketanji Brown Jackson About Critical Race Theory , Anti - Racist Books']"
2,1,1394,1_racial_racism_racist_controversy,"['racial', 'racism', 'racist', 'controversy', 'white people', 'debate', 'critics', 'diversity', 'fox news', 'discussion']","['Opinion : Critical race theory is itself racist', 'Critical race theory : The enemy of reason , evidence , and open debate | American Enterprise Institute', 'The critical race theory in U . S . history']"
3,2,658,2_america classrooms_racism_ethnic studies_fight schools,"['america classrooms', 'racism', 'ethnic studies', 'fight schools', 'schools taught', 'american schools', 'taught schools', 'civics education', 'classrooms', 'school choice']","['Critical Race Theory is not being taught in schools , nor should it be', 'Critical Race Theory in our schools', 'Critical race theory in the schools']"
4,3,381,3_black parents_parents protest_parents fight_parents rally,"['black parents', 'parents protest', 'parents fight', 'parents rally', 'schools parents', 'parents push', 'parents', 'help parents', 'parents concerned', 'black mother']","['Critical Race Theory : Parents Push Back', 'Parents against critical race theory', 'Parents Push Back On Critical Race Theory']"
5,4,351,4_ban bill_bill banning_bill ban_bills banning,"['ban bill', 'bill banning', 'bill ban', 'bills banning', 'bills ban', 'bill senate', 'mississippi senate', 'transparency bill', 'anti bill', 'ban teaching']","['Senate bill would ban teaching critical race theory', 'Mississippi Senate passes bill to ban critical race theory', 'Bill to ban teaching of critical race theory']"
6,5,266,5_pledge teach_teachers pledging_sign pledge_new teachers,"['pledge teach', 'teachers pledging', 'sign pledge', 'new teachers', 'teach controversial', 'pledge march', 'teachers downers', 'pledging teach', 'pledge nov', 'pledge']","['No new teachers in Wheaton sign pledge on Oct . 9 to teach Critical Race Theory', 'No new teachers in Downers Grove sign pledge on Oct . 9 to teach Critical Race Theory', 'No new teachers in Downers Grove sign pledge on Oct . 4 to teach Critical Race Theory']"
7,6,221,6_textbooks florida_florida classrooms_education rejects_classrooms desantis,"['textbooks florida', 'florida classrooms', 'education rejects', 'classrooms desantis', 'florida schools', 'schools desantis', 'citing florida', 'florida desantis', 'textbooks', 'desantis proposes']","['Florida rejects 54 new math textbooks citing critical race theory', 'Florida Rejects Math Textbooks Over Critical Race Theory', 'DeSantis : Critical race theory is']"
8,7,208,7_force academy_professor defends_force professor_academy professor,"['force academy', 'professor defends', 'force professor', 'academy professor', 'defends teaching', 'military academies', 'air force', 'cadets', 'academies', 'force officer']","['Air Force Academy Professor Defends Teaching of Critical Race Theory', 'Air Force Academy professor pushes for Critical Race Theory teachings in military academies', 'Air Force Academy professor pushes for military academies to teach critical race theory']"
9,8,192,8_gop reps_gop attacks_biden proposal_issue gop,"['gop reps', 'gop attacks', 'biden proposal', 'issue gop', 'gop turns', 'gop', 'gop lawmakers', 'back biden', 'biden', 'reps push']","['GOP Reps Push Back on Biden Critical Race Theory Proposal | Newsradio 102 . 9', 'GOP Reps Push Back on Biden Critical Race Theory Proposal', 'GOP Reps Push Back on Biden Critical Race Theory']"
