title,gpt_label
Critical race theory : Why Republicans want to criminalize teaching,<DEFENDING CRT>
Critical race theory school battles are deepening the red - blue divide,<NEUTRAL>
What is critical race theory ? Here everything you need to know,<NEUTRAL>
Black History Month : Phony critical race theory fears thwart teaching of total U . S . history,<DEFENDING CRT>
Bill banning critical race theory in schools dies in New Mexico Legislative session,<NEUTRAL>
Critical race theory : The narrative winning local elections for conservatives,<ANTI-CRT>
Conservatives leverage CRT to seize momentum in 2022 local elections,<NEUTRAL>
University of Virginia paid CRT proponent Ibram Kendi more than $500 per minute for lecture : report,<ANTI-CRT>
Teacher Anti - CRT Bills Coast To Coast : A State By State Guide,<NEUTRAL>
Texas professor blasts  activist  faculty over pro - CRT resolution :  Social justice indoctrination camp  ,<ANTI-CRT>
Hispanic Texas land commissioner candidate vows to defund schools teaching CRT,<ANTI-CRT>
Gov . DeSantis BANS  Critical Race Theory  from being taught in Florida schools ; makes bold announcement,<ANTI-CRT>
Scholars warn of dangers of critical race theory - The Christian Post,<ANTI-CRT>
critical race theory | What Did You Say ? ,<NEUTRAL>
"Scholars warn of dangers of critical race theory , how it being injected into students",<ANTI-CRT>
"Live updates : Polls close on the east coast , race calls , details on critical Senate races across country",<NEUTRAL>
Jelani Cobb on Derrick Bell : The Man Behind Critical Race Theory | History News Network,<NEUTRAL>
"APS approves petition about social studies standard , addresses CRT",<NEUTRAL>
Critical race theory is simply a way to learn about the past,<DEFENDING CRT>
Chandler Unified Offers Woke And CRT - Based Books To Students Ages 6 And Up,<ANTI-CRT>
"What is critical race theory , and could it be taught in PA schools ? ",<NEUTRAL>
Trying to understand fear of critical race theory and diversity programs,<DEFENDING CRT>
Critical race theory is a GOP bogeyman - New Mexico In Depth,<DEFENDING CRT>
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",<ANTI-CRT>
"William Jacobson , law professor , creates online database targeting  critical race training  schools",<ANTI-CRT>
"Critical race theory exposed in detail in new documentary ,  Whose Children Are They ? ",<ANTI-CRT>
Critical race theory slithers down in the weeds,<ANTI-CRT>
New Mexico lawmakers discuss critical race theory,<NEUTRAL>
New Mexican express concerns over critical race theory in schools,<NEUTRAL>
"Federal taxpayers fund critical race theory program that pays students $5 , 000 to receive training in CRT",<ANTI-CRT>
Federal taxpayers pay millions to fund critical race theory program that funds students to promote CRT,<ANTI-CRT>
Federal taxpayers pay millions to fund critical race theory program that trains students to promote CRT,<ANTI-CRT>
Conservatives are fighting educational reforms with a war cry :  It CRT ! ,<ANTI-CRT>
Dow wants to ban critical race theory in schools,<ANTI-CRT>
The battle over critical race theory reaches New Mexico,<NEUTRAL>
"2022 Session - Ep . 2 , Critical Race Theory goes New Mexican",<NEUTRAL>
Why Virginia governor tip line is sparking new critical race theory concerns in schools,<ANTI-CRT>
Here where critical race theory stands in classrooms and training across the country,<NEUTRAL>
Critical race theory in the U . S . ,<NEUTRAL>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | Southern Idaho Education,<NEUTRAL>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | News,<NEUTRAL>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | National News,<NEUTRAL>
Attempts to ban teaching on  critical race theory  multiply across the U . S . ,<NEUTRAL>
"Critical race theory curriculum in K - 12 schools is going  horribly wrong , teachers say",<ANTI-CRT>
KK Helps Spill The Tea On Lee Summit Critical Race Theory Crisis,<ANTI-CRT>
Missouri demand on critical race theory prompts $170K bill,<NEUTRAL>
"Lawmaker wants a Missouri school district to turn over any records referring to  critical race theory ; the district wants a deposit of $170 , 000 | Politics",<NEUTRAL>
Records Request On Critical Race Theory Prompts $170K Bill,<NEUTRAL>
NC school board approves harsh repercussions for CRT teaching,<ANTI-CRT>
"Letters for October 10 : On gun violence , CRT and horse slaughter",<NEUTRAL>
Rockwood parents organize to support school board in battle over critical race theory,<DEFENDING CRT>
Reviewing SPS servers for CRT is a costly action for a non - issue,<ANTI-CRT>
GOP Anti - CRT Hysteria Leads To Requiring Teachers To Find  Balance  On The Holocaust,<DEFENDING CRT>
Alabama state school board member says protesters may be  terrorist amid critical race theory debate,<ANTI-CRT>
Sleepy school board races are waking up to Covid and critical race theory debates,<NEUTRAL>
Covid and critical race theory : Sleepy school board races are waking up,<NEUTRAL>
Critical race theory battle invades school boards with help from conservative groups,<ANTI-CRT>
"Ohio School Boards Association quits national group as passions rise over critical race theory , masks and vaccines at local meetings",<NEUTRAL>
Your Opinion : LTE wrong on CRT,<NEUTRAL>
Local organizations to hold seminar on critical race theory,<NEUTRAL>
Is a Virginia county critical race theory and equity fight at the heart of the 2022 elections ? ,<NEUTRAL>
It not just Virginia . Education and critical race theory are on the ballot across the US in 2022 . ,<NEUTRAL>
Discussion on Critical Race Theory aims to inform Columbia community,<NEUTRAL>
Missouri AG Schmitt to Newsmax : Lawsuit Seeks Answers on Critical Race Theory Plan,<NEUTRAL>
"As Parents Protest Critical Race Theory , Students Fight Racist Behavior at School",<NEUTRAL>
"Texas abortion law spurs copycat measures , from guns in California to critical race theory in Florida",<NEUTRAL>
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise,<DEFENDING CRT>
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise By John Murawski,<DEFENDING CRT>
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,<DEFENDING CRT>
What I discovered about critical race theory in public schools and why it shouldnt be taught,<ANTI-CRT>
Cori Bush : Those Claiming  Black People Have Full Freedom  Reject CRT,<DEFENDING CRT>
What I discovered about Critical Race Theory in public schools and why it shouldnt be taught,<ANTI-CRT>
The Fightback Against Critical Race Theory,<ANTI-CRT>
"Mid - Missouri school boards take up critical race theory , The 1619 Project",<NEUTRAL>
The critical race theory fight is leading to educator  brain drain  ,<DEFENDING CRT>
Report : CRT wars are taking toll on lefty administrators,<ANTI-CRT>
Death Threats and Fights Over Critical Race Theory Have Driven at Least Six Educators to Resign,<DEFENDING CRT>
Legal groups issue dueling letters to school districts over critical race theory,<NEUTRAL>
Legal groups issue dueling letters to Wisconsin school districts over critical race theory,<NEUTRAL>
Show - Me Threats Against Teachers Amid CRT Curriculum,<ANTI-CRT>
The perversion of critical race theory,<ANTI-CRT>
State legislators hear from opponents of critical race theory in schools,<NEUTRAL>
Missouri polling schools on whether they teach critical race theory,<NEUTRAL>
Missouri lawmakers press state for evidence of critical race theory in schools,<NEUTRAL>
Missouri School District Spends $15K on Critical Race Theory Audit,<NEUTRAL>
Missouri reps eye shield vs . critical race theory ; it not in local schools,<ANTI-CRT>
"Missouri Teachers , CRT Advocate Plotted to Hide Social Justice Curriculum from  Trump Country  Parents",<ANTI-CRT>
MO Teachers Plotted With CRT Advocate To Hide Radical Teaching – PJ Media,<ANTI-CRT>
Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,<NEUTRAL>
Your view : Critical race theory hearing insulting,<ANTI-CRT>
"Teachers , CRT Advocate Discuss How To Sneak Teaching About  White Privilege  Past  Trump Country  Parents",<ANTI-CRT>
Kansas City only Missouri school district reporting it teaches critical race theory,<NEUTRAL>
Critical race theory opponents urge Springfield parents to fight back,<ANTI-CRT>
Republican obsession over critical race theory is harming Black students,<DEFENDING CRT>
Vicki Hartzler Condemns Critical Race Theory on Fox News,<ANTI-CRT>
"Letters for September 5 : CRT , COVID precautions and more",<NEUTRAL>
Nikole Hannah - Jones Says Her Privately Funded School Program Wont Teach Critical Race Theory,<NEUTRAL>
News - Finding a Remedy for the CRT Pandemic | Heartland Institute,<ANTI-CRT>
Catherine Rhoades : Critics of critical race theory try to turn it into something it is not,<DEFENDING CRT>
Gov . Greg Abbott signs tougher anti - critical race theory law,<ANTI-CRT>
Governor signs tougher anti - critical race theory law,<ANTI-CRT>
Critical race theory - related ideas found in mandatory programs at 58 of top 100 US medical schools : report,<NEUTRAL>
Legal Theory Blog : Balkin on Race & Constitutional Time,<NEUTRAL>
"Parents too afraid to oppose CRT in schools , says activist",<ANTI-CRT>
Critical Race Theory Is Divisive : Researcher,<ANTI-CRT>
Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,<ANTI-CRT>
Critical Race Theory -- Idaho Passes Law Banning  Indoctrination  at Public Schools,<ANTI-CRT>
States Should Follow West Virginia Lead in Trying to Ban Critical Race Theory From Schools,<ANTI-CRT>
Republican States Push Back Against Critical Race Theory,<NEUTRAL>
Woke war : How social justice and CRT became heresy for evangelicals,<ANTI-CRT>
Hate Critical Race Theory ? Guess what : Youre funding it,<ANTI-CRT>
